;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
0.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;637.0;0.0777
1.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;412.0;0.0503
2.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;122.0;0.0149
3.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;535.0;0.0653
4.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;168.0;0.0205
5.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;354.0;0.0432
6.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;253.0;0.0309
7.0;1.0;let, rok, film, svìt, seriál, èeský, divadlo, kniha, zemøít, pøíbìh;5.0;0.0006
8.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;329.0;0.0402
9.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;203.0;0.0248
10.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;1120.0;0.1367
11.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;77.0;0.0094
12.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;296.0;0.0361
13.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;393.0;0.048
14.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;1864.0;0.2275
15.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;78.0;0.0095
16.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;1.0;0.0001
17.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;239.0;0.0292
18.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;259.0;0.0316
19.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;849.0;0.1036
20.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;;
21.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
22.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
23.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
24.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
25.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
26.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;;
27.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
28.0;2.0;lékaø, nemoc, péèe, pacient, zdraví, tìlo, lék, problém, odborník, pøe;;
29.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;;
30.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
31.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
32.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
33.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
34.0;1.0;let, rok, film, svìt, seriál, èeský, divadlo, kniha, zemøít, pøíbìh;;
35.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
36.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
37.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
38.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
39.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
40.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
41.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
42.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
43.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
44.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
45.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
46.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
47.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
48.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
49.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
50.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
51.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
52.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
53.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
54.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
55.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
56.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
57.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
58.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
59.0;12.0;firma, spoleènost, zamìstnanec, èlovìk, práce, slu¾ba, peníze, pracovní, finanèní, online;;
60.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
61.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
62.0;2.0;lékaø, nemoc, péèe, pacient, zdraví, tìlo, lék, problém, odborník, pøe;;
63.0;2.0;lékaø, nemoc, péèe, pacient, zdraví, tìlo, lék, problém, odborník, pøe;;
64.0;11.0;nemocnice, kraj, pacient, stav, zdravotník, lù¾ko, pivo, lékaø, uvést, praze;;
65.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
66.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;;
67.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
68.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
69.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
70.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
71.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
72.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
73.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
74.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
75.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
76.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
77.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
78.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
79.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
80.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
81.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;;
82.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
83.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
84.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
85.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
86.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
87.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
88.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
89.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
90.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
91.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
92.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
93.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
94.0;11.0;nemocnice, kraj, pacient, stav, zdravotník, lù¾ko, pivo, lékaø, uvést, praze;;
95.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
96.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
97.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
98.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
99.0;1.0;let, rok, film, svìt, seriál, èeský, divadlo, kniha, zemøít, pøíbìh;;
100.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
101.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
102.0;2.0;lékaø, nemoc, péèe, pacient, zdraví, tìlo, lék, problém, odborník, pøe;;
103.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
104.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
105.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
106.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
107.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
108.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
