1,Ekonomika,Zprávy - Ekonomika,ekonomika,,
2,Regionální,Regionální,regionalni,,
3,Zahraničí,Zprávy - Zahraničí,zahranici,,
4,Domácí,Zprávy - Domácí,domaci,,
5,Kultura,Zprávy z kultury,kultura,,
6,Finance,Finance,finance,,
7,Móda,Móda,moda,,
8,Zdraví,Zdraví,zdravi,,
9,Vztahy,Vztahy,vztahy,,
11,Celebrity,Zprávy o celebritách,celebrity,,
12,Technologie,Technologie,technologie,,
13,Věda,Věda,veda,,
14,Auto-moto,Zpravodajství ze světa aut,auto-moto,,
15,Hry,Videoherní články,video-hry,,
16,Ostatní,Ostatní,ostatni,,
17,Sport,Sport,sport,,
