kategorie;18-29;30-39;40-59;60+;Men;Woman;Reuters Man;Reuters Woman;Reuters 18-24;Reuters 25-34;Reuters 35-44;Reuters 45-54
celebrity;58;46;28;31;28;44;9;24;25;25;20;14
domaci;57;79;73;79;74;69;63;68;60;62;67;69
ekonomika;62;67;69;80;76;65;36.5;25.5;23.5;27;29;32
finance;62;67;69;80;76;65;36.5;25.5;23.5;27;29;32
kultura;30;35;27;46;35;35;11;19;19;16;14;12
moda;40;48;45;45;30;58;;;;;;
regionalni;57;77;79;83;73;77;37;47;30.5;36;42.5;45.5
sport;41;65;41;50;57;34;44;16;28;29;33;32
technologie;59;69;53;58;61;55;35;22;40;32;27;27
veda;59;69;53;58;61;55;35;22;40;32;27;27
zahranicni;59;78;63;79;75;61;54;52;48;47;49;54
