cs_word_1	cs_word_2	cs mean
vstupne	listek	6.78
alkohol	chemie	5.96
hlinik	kov	8.06
oznameni	snaha	2.6
oznameni	zprava	7.176
oznameni	produkce	2.692
oznameni	varovani	7.114
arafat	jackson	3.78
arafat	mir	6.28
arafat	terorismus	6.532
architektura	stoleti	5.88
zarizeni	ubytovani	5.124
prijezd	hotel	5.468
blazinec	cvokarna	9.328
atmosfera	krajina	4.698
pokus	mir	4.168
miminko	matka	7.636
banka	penize	8.392
basebal	sezona	5.736
postel	skrin	6.1
meritko	index	4.552
ptak	kohout	7.048
ptak	jerab	7.3
biskup	rabin	6.876
vybor	doporuceni	4.332
kniha	knihovna	8.688
kniha	papir	7.556
box	kolo	3.572
chlapec	hoch	9.026
chleb	maslo	7.844
bratr	mnich	6.012
vypocet	pocitani	8.184
kanon	krajina	5.992
auto	automobil	9.816
auto	let	4.612
mobil	telefon	9.088
hrbitov	zalesneni	2.324
stoleti	narod	3.988
stoleti	rok	7.548
satnik	saty	8.146
pobrezi	les	4.948
pobrezi	kopec	5.512
pobrezi	breh	8.892
spolecnost	akcie	6.404
soutez	cena	7.352
pocitac	internet	8.12
pocitac	klavesnice	7.418
pocitac	laborator	5.5
pocitac	zprava	5.132
pocitac	software	8.412
koncert	virtuos	7.524
zakaznik	sebevedomi	3.7
zakaznik	energie	3.848
zeme	obcan	6.94
jerab	naradi	4.724
kreditni	karta	7.9
verohodnost	informace	6.26
okurka	brambor	6.352
salek	kus	2.88
salek	artefakt	2.96
hrnek	kava	7.58
hrnek	pit	7.012
salek	entita	1.544
salek	jidlo	5.04
hrnek	tekutina	6.052
salek	vec	3.872
hrnek	latka	1.836
hrnek	pribor	6.06
mena	trh	6.204
den	usvit	7.568
den	leto	4.4
smrt	pacient	5.828
smrt	hadka	3.228
rad	udatnost	5.42
zpozdeni	zprava	3.78
zpozdeni	rasismus	0.44
rozmisteni	odchod	4.108
nasazeni	stazeni	5.712
vyvoj	otazka	3.544
smer	kombinace	1.752
invalidita	smrt	5.196
pohroma	oblast	4.82
objev	vesmir	5.356
dividenda	vypocet	5.64
dividenda	platba	6.42
doktor	riziko	4.4
doktor	sestra	7.588
doktor	personal	4.72
dolar	dolac	8.3
dolar	ztrata	4.48
dolar	zisk	6.224
dolar	yen	7.4
pit	auto	3.088
piti	ucho	1.62
piti	jist	7.752
pit	matka	4.0
piti	usta	5.692
droga	zneuzivani	7.024
energie	krize	4.556
energie	laborator	3.624
energie	tajemnik	1.78
zivotni prostredi	ekologie	7.896
vybaveni	vyrobce	4.4
exponat	memorabilia	5.576
zkusenost	hudba	1.908
rodina	planovani	6.116
fbi	otisk prst	6.94
fbi	vysetrovani	7.792
plodnost	vejce	7.144
zapas	porazka	6.88
pet	mesic	2.5
zamereni	zivot	2.852
jidlo	ovoce	7.676
jidlo	priprava	5.596
jidlo	kohout	3.46
fotbal	basketbal	7.028
fotbal	kopana	9.392
fotbal	tenis	7.112
les	hrbitov	2.992
soustani	sex	9.212
pec	kamna	8.556
hra	porazka	7.112
hra	kolo	5.828
hra	serie	4.02
hra	tym	7.31
hra	vitezstvi	6.84
klenot	sperk	8.538
pohlavi	rovnost	6.36
sklenice	kouzelnik	2.692
sklo	kov	6.88
vlada	krize	5.336
guverner	rozhovor	3.68
guverner	urad	6.492
potravina	penize	4.4
harvard	yale	8.332
svaty	sex	2.06
nemocnice	infrastruktura	4.52
hotel	rezervace	7.296
sto	procento	6.504
sampionat	turnaj	8.096
sance	duveryhodnost	3.22
zmena	postoj	5.512
akord	usmev	1.88
zobrazeni	povrch	4.048
nestrannost	zajem	5.6
vysetrovani	snaha	4.584
investor	vydelek	6.936
jaguar	auto	7.5
jaguar	kocka	7.028
japonec	american	6.836
jeruzalem	izrael	8.052
jeruzalem	palestinec	7.832
casopis	sdruzeni	3.232
cesta	automobil	6.512
cesta	putovani	8.6
kral	kapusta	0.68
kral	kralovna	8.776
kral	vez	6.112
hoch	bratr	5.5
chlapec	carodej	3.352
pravo	pravnik	8.336
pravnik	dukaz	6.68
pojisteni	odpovednost	6.802
zivot	smrt	8.596
zivot	lekce	5.152
zivot	doba	5.74
linka	pojisteni	2.28
kapalina	voda	8.14
seznam	kategorie	6.12
seznam	blizkost	1.704
humr	jidlo	7.144
humr	vino	4.44
laska	sex	7.748
milenec	hadka	5.828
luxus	auto	6.088
kouzelnik	carodej	9.172
muz	guverner	5.18
muz	zena	8.58
maradona	fotbal	8.224
maraton	sprint	7.348
mars	vedec	5.704
mars	voda	5.232
medium	vytezek	2.56
medium	rozhlas	7.152
medium	obchodovani	3.32
mexiko	brazilie	6.644
poledne	dvanacty	8.792
mile	kilometr	8.016
ministr	strana	6.642
ministerstvo	kultura	6.36
minorita	mir	3.28
penize	banka	7.78
penize	hotovost	8.784
penize	hotovost	8.784
penize	mena	7.532
penize	vklad	6.84
penize	dolar	8.08
penize	prani	6.18
penize	operace	4.984
penize	vlastnictvi	6.62
penize	majetek	7.24
penize	bohatstvi	7.988
penize	vyber	6.34
mnich	vestba	2.536
mnich	otrok	2.64
mesic	hotel	2.308
moralita	vyznam	3.372
moralita	manzelstvi	3.868
film	kritik	7.068
film	popkorn	6.048
film	hvezda	7.18
film	divadlo	7.184
vrazda	zabiti	8.656
muzeum	divadlo	6.144
hudba	projekt	2.78
priroda	zivotni prostredi	7.356
priroda	clovek	7.144
sit	hardware	6.484
novina	zprava	7.536
poledne	vlakno	0.672
pozorovani	architektura	2.64
ropa	akcie	6.28
opec	zeme	5.748
opec	ropa	7.976
opera	prumysl	1.14
opera	vystoupeni	6.7
mir	atmosfera	3.112
mir	pojisteni	2.4
mir	plan	3.716
telefon	vybava	3.8
fyzika	chemie	7.336
fyzika	proton	7.192
letadlo	auto	6.98
planeta	astronom	7.688
planeta	souhvezdi	6.896
planeta	galaxie	7.82
planeta	mesic	6.7
planeta	clovek	6.468
planeta	vesmir	8.0
planeta	hvezda	7.82
planeta	slunce	7.744
populace	rozvoj	6.144
moznost	divka	1.8
postup	instituce	3.492
precedent	antecedent	5.82
precedent	vedomi	2.752
precedent	soubor	2.332
precedent	priklad	6.088
precedent	skupina	2.46
precedent	informace	2.56
precedent	zakon	6.588
predsudek	rozpoznani	3.576
zachovani	svet	3.64
prezident	medaile	5.16
problem	letiste	2.776
problem	vyzva	5.424
produkce	stab	6.86
produkce	vylet	1.272
profesor	okurka	0.6
profesor	doktor	6.872
zisk	ztrata	8.36
zisk	varovani	2.06
psychologie	uzkost	6.46
psychologie	klinika	6.2
psychologie	vedomi	7.03
psychologie	deprese	7.312
psychologie	disciplina	5.752
psychologie	lekar	6.514
psychologie	strach	5.564
psychologie	freud	8.488
psychologie	zdravi	6.54
psychologie	mysl	7.608
psychologie	psychiatrie	7.928
psychologie	veda	7.368
rozum	kriterium	4.54
rozum	hypertenze	1.94
rekord	cislo	4.536
registrace	sjednani	4.452
zprava	vynos	3.548
rock	jazz	7.778
kohout	vyprava	0.72
kreveta	jidlo	7.76
morsky plod	humr	7.83
ryba	more	7.724
tajemnik	senat	4.8
sedm	serie	3.44
breh	zalesneni	3.38
prehanka	zaplava	6.168
prehanka	boure	7.308
skola	centrum	3.88
znak	upadek	2.64
situace	zaver	4.196
situace	izolace	2.012
velikost	vyznacnost	5.996
kuze	oko	5.048
chytry	student	6.492
chytry	hloupy	8.26
mydlovy	opera	5.904
vesmir	chemie	3.944
vesmir	svet	7.184
zacatek	zapas	5.136
zacatek	rok	5.136
inventar	cd	2.6
sklad	vajicko	1.46
sklad	jaguar	1.24
sklad	zivot	1.44
zasobit	zit	3.528
akcie	trh	8.108
sklad	telefon	1.772
ulice	avenue	8.544
ulice	blok	6.976
ulice	dite	5.444
ulice	misto	5.62
mrtvice	nemocnice	6.888
student	profesor	7.42
cukr	pristup	0.804
leto	sucho	6.36
leto	priroda	6.25
telefon	komunikace	7.32
televize	film	7.428
televize	radio	7.476
tenis	raketa	7.82
uzemi	kilometr	5.444
uzemi	povrch	4.608
divadlo	historie	4.624
tygr	zvire	8.08
tygr	masozravec	7.2
tygr	kocka	7.752
tygr	fauna	6.596
tygr	kockovity	7.704
tygr	jaguar	7.16
tygr	savec	7.028
tygr	organismus	4.78
tygr	tygr	10.0
tygr	zoo	6.976
naradi	nastroj	7.262
vlak	auto	7.14
cestovani	cinnost	5.806
lecba	zotaveni	7.908
typ	druh	8.756
obet	nebezpeci	5.96
video	archiv	5.912
divak	serial	7.032
vodka	brandy	7.536
vodka	gin	7.82
dobrovolnik	moto	2.32
valka	vojak	8.096
voda	prusak	7.276
zbran	tajny	5.676
pocasi	predpoved	7.476
streda	novina	2.556
drevo	les	7.808
slovo	podobnost	3.98
