Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0,0,0.5456818831663075,1.8280754901166616e-27,0.5592626108296164,4.84050193464176e-29,4.815864022662889,0.0635832115264147
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.1,0,0.5309271106535939,7.870698252133649e-26,0.5494846719235601,6.7239150310519805e-28,4.815864022662889,0.06431405303821257
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.1,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.01,0,0.5251024906637332,3.3058722390088175e-25,0.536273532377616,2.0568015816159446e-26,4.815864022662889,0.0671330131551472
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.01,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.001,0,0.5920275065352738,3.682465995594982e-33,0.5999510604864793,3.148235588103959e-34,4.815864022662889,0.06326999373564418
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.001,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0001,0,0.6155110357758584,2.0501128432404336e-36,0.6208420982433644,3.422790576250376e-37,4.815864022662889,0.07506786385466695
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0001,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,1e-05,0,0.6405450945239832,3.3650827867798467e-40,0.6268665309902621,4.3419623592943504e-38,4.815864022662889,0.10513677176863646
iDnes.cz 100% Corpus,0,5,50,1,0,20,1e-05,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
