Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0,0,0.5751954471229643,5.49279066094512e-31,0.578221375883582,2.28179353660894e-31,4.815864022662889,0.06629776571309251
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.1,0,0.5250588486442661,3.3412635885728418e-25,0.5383464231578845,1.2145533620087208e-26,4.815864022662889,0.061808310712048446
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.1,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.01,0,0.5347899010990481,2.992032798533411e-26,0.5441052791310261,2.757168321980215e-27,4.815864022662889,0.06233034036333264
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.01,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.001,0,0.60214950346733,1.5719024174150087e-34,0.6057258921916931,5.019929663743113e-35,4.815864022662889,0.061912716642305285
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.001,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0001,0,0.6213026551975587,2.9276383567660432e-37,0.6205475753412004,3.7819789403150194e-37,4.815864022662889,0.07172687408644811
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.0001,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,20,1e-05,0,0.6395566233285976,4.820745840573026e-40,0.6331478408548366,4.8039083219001344e-39,4.815864022662889,0.10931300897891
iDnes.cz 100% Corpus,0,5,50,1,0,20,1e-05,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.0,0,0.5664165624107218,6.676715789525481e-30,0.5731978781124601,9.760934791483181e-31,4.815864022662889,0.06389642931718521
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.0,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.1,0,0.5366911877901632,1.8502258080161302e-26,0.5426051420718833,4.068216721188105e-27,4.815864022662889,0.06598454792232199
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.1,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.01,0,0.5428292845240523,3.8389787353106515e-27,0.5595965194474833,4.4177104103682853e-29,4.815864022662889,0.06337439966590103
iDnes.cz 100% Corpus,0,5,50,1,0,25,0.01,1,0.051627787894651216,0.34544791189335294,0.04551280439155906,0.4056429458807793,4.815864022662889,0.00020881186051367718
