Validation_Set;Model_Variant;Negative;Vector_size;Window;Min_count;Epochs;Sample;Softmax;Word_pairs_test_Pearson_coeff;Word_pairs_test_Pearson_p-val;Word_pairs_test_Spearman_coeff;Word_pairs_test_Spearman_p-val;Word_pairs_test_Out-of-vocab_ratio;Analogies_test
iDnes.cz 100% Corpus;0;5;50;2;0;2;0.0;0;0.033990273560309245;0.5408489254282248;0.005899472060962134;0.915495461716775;7.64872521246459;0.00019357336430507162
iDnes.cz 100% Corpus;0;5;50;2;0;2;0.1;0;0.05538759540928899;0.31877749408331757;0.009529383536017655;0.8639088658626839;7.64872521246459;0.00029036004645760743
iDnes.cz 100% Corpus;0;5;50;2;0;2;0.01;0;0.03805071244731563;0.4935758357727271;0.01205040554662754;0.828404840675224;7.64872521246459;0.0019357336430507162
iDnes.cz 100% Corpus;0;5;50;2;0;2;0.001;0;0.03967656794248123;0.47528373714099564;0.00481067180124486;0.9310484442421069;7.64872521246459;0.0016453735965931088
iDnes.cz 100% Corpus;0;5;50;2;0;5;0.0;0;0.048500575953287065;0.3827444079647937;0.028756311106253294;0.6049318447764278;7.64872521246459;0.0016453735965931088
iDnes.cz 100% Corpus;0;5;50;2;0;5;0.1;0;0.03903337057401763;0.4824755987460337;0.020268622108520894;0.7154165417554577;7.64872521246459;0.002226093689508324
iDnes.cz 100% Corpus;0;5;50;2;0;5;0.01;0;0.056051288395832156;0.3130041817005358;0.02774284536426737;0.6177215286502848;7.64872521246459;0.0027100271002710027
iDnes.cz 100% Corpus;0;5;50;2;0;5;0.001;0;0.0491233579821789;0.3766571893825009;0.02158429183542914;0.6978215439882196;7.64872521246459;0.0013550135501355014
iDnes.cz 100% Corpus;0;5;50;2;0;5;0.0001;0;0.03060456922564244;0.5819172744012847;0.02838258262518603;0.6096344548324187;7.64872521246459;0.00019357336430507162
iDnes.cz 100% Corpus;0;5;50;2;0;10;0.0;0;0.11912920578892276;0.03152873923505135;0.1705344880142639;0.002002118728694271;7.64872521246459;0.008033294618660472
iDnes.cz 100% Corpus;0;5;50;2;0;10;0.1;0;0.12427027739453915;0.024842424144054315;0.17675313597448783;0.0013535915555383336;7.64872521246459;0.006581494386372435
iDnes.cz 100% Corpus;0;5;50;2;0;10;0.01;0;0.12743648391434295;0.021364596655639313;0.18405002004366672;0.0008410692375467256;7.64872521246459;0.008420441347270616
iDnes.cz 100% Corpus;0;5;50;2;0;10;0.001;0;0.12480645462665117;0.02422122999641043;0.17910530475569988;0.0011633811051430891;7.64872521246459;0.007259001161440186
iDnes.cz 100% Corpus;0;5;50;2;0;10;0.0001;0;0.0823395751511323;0.1379444647112323;0.14319758313174893;0.00962763589888296;7.64872521246459;0.004452187379016648
iDnes.cz 100% Corpus;0;5;50;2;0;15;0.0;0;0.28552241958738767;1.5626173149165083e-07;0.31455226488388804;6.413710451291553e-09;7.64872521246459;0.018679829655439413
iDnes.cz 100% Corpus;0;5;50;2;0;15;0.1;0;0.28990175271117424;9.871172214203505e-08;0.31619092053164444;5.299403592249172e-09;7.64872521246459;0.017421602787456445
iDnes.cz 100% Corpus;0;5;50;2;0;15;0.01;0;0.2872522526451611;1.3045526401814566e-07;0.30923537976004833;1.181927136490204e-08;7.64872521246459;0.0156794425087108
iDnes.cz 100% Corpus;0;5;50;2;0;15;0.001;0;0.28631745690526467;1.4384320657398323e-07;0.3155267644960129;5.726380524183953e-09;7.64872521246459;0.005710414246999613
iDnes.cz 100% Corpus;0;5;50;2;0;15;0.0001;0;0.2667574942386484;1.0250596412603654e-06;0.2986778099440972;3.839990324465824e-08;7.64872521246459;0.01548586914440573
iDnes.cz 100% Corpus;0;5;50;2;0;15;1e-05;0;0.020080982616083026;0.7179384898429751;0.08996500841333872;0.10492961953573672;7.64872521246459;0.0006775067750677507
iDnes.cz 100% Corpus;0;5;50;2;0;20;0.0;0;0.37801382326964056;1.632028043232408e-12;0.38914937025547025;3.1321994857625796e-13;7.64872521246459;0.017228029423151374
iDnes.cz 100% Corpus;0;5;50;2;0;20;0.1;0;0.38372630569999855;7.052931056351857e-13;0.3944906741540229;1.3875522668440575e-13;7.64872521246459;0.018292682926829267
iDnes.cz 100% Corpus;0;5;50;2;0;20;0.01;0;0.3800549891124274;1.2115792218175461e-12;0.3871854773104737;4.2097942488769565e-13;7.64872521246459;0.007452574525745257
iDnes.cz 100% Corpus;0;5;50;2;0;20;0.001;0;0.37608389172481904;2.1588597664056773e-12;0.3859879182527442;5.036692593498467e-13;7.64872521246459;0.017615176151761516
iDnes.cz 100% Corpus;0;5;50;2;0;20;0.0001;0;0.39582409513688843;1.1297312378418182e-13;0.3997448671044862;6.13956455756571e-14;7.64872521246459;0.003968253968253968
iDnes.cz 100% Corpus;0;5;50;2;0;20;1e-05;0;-0.004703444307996914;0.9325816528134051;0.10488764289756444;0.058525302596157465;7.64872521246459;0.0011614401858304297
iDnes.cz 100% Corpus;0;5;50;2;0;25;0.0;0;0.4337359130482739;2.1908935001233078e-16;0.436508458122985;1.3444297041290274e-16;7.64872521246459;0.017228029423151374
iDnes.cz 100% Corpus;0;5;50;2;0;25;0.1;0;0.44395349242822907;3.542804564589274e-17;0.44605637221853656;2.4163692644635824e-17;7.64872521246459;0.019454123112659698
iDnes.cz 100% Corpus;0;5;50;2;0;25;0.01;0;0.4288266188964246;5.145408036846563e-16;0.43043060777865894;3.8988107685815406e-16;7.64872521246459;0.02003484320557491
iDnes.cz 100% Corpus;0;5;50;2;0;25;0.001;0;0.43329720764399027;2.365930762543833e-16;0.4348216576570002;1.8105039683886623e-16;7.64872521246459;0.017421602787456445
iDnes.cz 100% Corpus;0;5;50;2;0;25;0.0001;0;0.4551661740360736;4.465015726975591e-18;0.45517375387482345;4.458652543671668e-18;7.64872521246459;0.01684088269454123
iDnes.cz 100% Corpus;0;5;50;2;0;25;1e-05;0;0.093825964678845;0.0907799879207177;0.1646318986629129;0.0028687947196404527;7.64872521246459;0.0038714672861014324
iDnes.cz 100% Corpus;0;5;50;2;0;30;0.0;0;0.47370497664948996;1.2245739883309293e-19;0.47090238889753416;2.1390890456123738e-19;7.64872521246459;0.018583042973286876
iDnes.cz 100% Corpus;0;5;50;2;0;30;0.1;0;0.4621741454243617;1.176409413380276e-18;0.46171088500311164;1.286065757406436e-18;7.64872521246459;0.007452574525745257
iDnes.cz 100% Corpus;0;5;50;2;0;30;0.01;0;0.46951058909891114;2.8164736072860647e-19;0.47227365030304413;1.6292241952100593e-19;7.64872521246459;0.019066976384049555
iDnes.cz 100% Corpus;0;5;50;2;0;30;0.001;0;0.4588091588308251;2.2405995522855002e-18;0.46244206278210426;1.1172427797992955e-18;7.64872521246459;0.006581494386372435
iDnes.cz 100% Corpus;0;5;50;2;0;30;0.0001;0;0.48027662567542945;3.2445655049868295e-20;0.4789216184229372;4.276728433070466e-20;7.64872521246459;0.01684088269454123
iDnes.cz 100% Corpus;0;5;50;2;0;30;1e-05;0;0.22749524729498008;3.3796570825114085e-05;0.26196790559340694;1.6202871611782613e-06;7.64872521246459;0.006097560975609756
iDnes.cz 100% Corpus;0;5;50;2;2;2;0.0;0;-0.026335191618812457;0.637774995856355;0.006340609581728576;0.9097635161904585;8.78186968838527;0.0004361574528404754
iDnes.cz 100% Corpus;0;5;50;2;2;2;0.1;0;-0.048066757100300735;0.38997107921142177;0.002530960368565518;0.9639160827798471;8.78186968838527;0.0002180787264202377
