Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.0,0,0.03745003941193791,0.5004275465326852,0.0006832061435636463,0.9901956603650952,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.0,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.1,0,0.044794470066972736,0.4201948440844138,0.00013179211033002153,0.998108673660721,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.1,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.01,0,0.038739163221899416,0.48578477285399874,0.003383645827326965,0.9514716437085353,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.01,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.001,0,0.05629529251495949,0.31089898307924335,0.0034549968476792767,0.9504496220182957,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.001,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.0001,0,0.02795946744928923,0.6149779221758266,-0.008434695061121378,0.87941558521955,7.64872521246459,0.0007189072609633358
iDnes.cz 100% Corpus,0,5,50,1,0,2,0.0001,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,1e-05,0,0.02977894570428207,0.5921476439108188,-0.016281954066737585,0.7696226371784475,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,2,1e-05,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.0,0,0.05593828363417387,0.3139823128229078,0.0143776360047285,0.7959352368952405,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.0,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.1,0,0.046895843514974375,0.39870375966420996,-0.004529942483445957,0.935063019940501,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.1,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.01,0,0.047051519914035986,0.3971382841954072,0.00587349464105477,0.915866185635434,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.01,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.001,0,0.04389469387869579,0.4296002696081735,0.013836786122257201,0.8034520875865068,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.001,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.0001,0,0.02621348146535548,0.6372410433878409,0.029233083352953094,0.5989562610667689,7.64872521246459,0.0007189072609633358
iDnes.cz 100% Corpus,0,5,50,1,0,5,0.0001,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,1e-05,0,0.04216167277085066,0.4480546719771801,-0.009063694988478328,0.8704995201022138,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,5,1e-05,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,10,0.0,0,0.0786510637846583,0.156534730210999,0.1290087163783473,0.019800287821973527,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,10,0.0,1,0.021071998000167527,0.7046540734819892,-0.016950266489554344,0.7604488851200433,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,1,0,10,0.1,0,0.08501678878899761,0.12554797228728068,0.1310891613473283,0.017883945153540422,7.64872521246459,0.0
