Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,10,100,16,12,30,0.0,0,0.5924048524202619,7.119277441620575e-27,0.5848323404951173,4.4545827953784984e-26,23.79603399433428,0.023094287202639348
iDnes.cz 100% Corpus,1,5,450,2,2,20,0.01,0,0.350305605616399,9.954243605442425e-11,0.3597920777558921,2.8268337058134747e-11,8.78186968838527,0.0018536691745720205
iDnes.cz 100% Corpus,0,15,200,4,5,30,0.0001,0,0.5764456349262844,2.1008372400319273e-28,0.5937967227391253,1.8961098023386445e-30,13.59773371104816,0.02720905172413793
iDnes.cz 100% Corpus,1,15,200,16,1,30,0.0,0,0.6026812746926782,1.2873701760828506e-33,0.6304922435392273,1.567864204214328e-37,7.64872521246459,0.006678281068524971
iDnes.cz 100% Corpus,0,15,50,4,2,25,0.01,0,0.5630620335557187,2.5059385129269087e-28,0.5580006008020821,9.500475447440001e-28,8.78186968838527,0.02671464398647912
iDnes.cz 100% Corpus,0,15,200,1,12,30,0.1,0,0.39122121453076986,2.858071278410084e-11,0.38659395870601954,5.0917808912857995e-11,23.79603399433428,0.0005209237714881056
iDnes.cz 100% Corpus,0,10,50,12,1,25,1e-05,0,0.4677415441331122,3.988245291565996e-19,0.4537808446193906,5.791118082545241e-18,7.64872521246459,0.005032907471931862
iDnes.cz 100% Corpus,1,5,158,16,1,20,0.01,0,0.5771601134350046,2.392155045765195e-30,0.5899891163336639,5.911980904988562e-32,7.64872521246459,0.008904374758033295
iDnes.cz 100% Corpus,0,5,100,1,8,20,1e-05,0,0.005877722989569587,0.9210261302551513,0.11181568118747799,0.05849791952390607,18.69688385269122,0.0009150526155253927
iDnes.cz 100% Corpus,0,5,50,1,0,20,0.1,0,0.3088349995236937,1.2370017490710743e-08,0.31584715267487035,5.516406266379175e-09,7.64872521246459,0.002129307007355788
iDnes.cz 100% Corpus,1,15,100,8,12,25,0.0,0,0.5948816957539506,3.867033037950323e-27,0.5964247001479018,2.6368963254762663e-27,23.79603399433428,0.02448341725994096
iDnes.cz 100% Corpus,1,10,158,5,3,25,0.0,0,0.5059640172493359,6.054686759131865e-22,0.5188004831026926,3.590388408321274e-23,10.48158640226629,0.0028790786948176585
iDnes.cz 100% Corpus,1,5,50,20,0,30,0.0,0,0.6068996189151653,3.4729492797897925e-34,0.6052761352179494,5.763576163141784e-34,7.64872521246459,0.012388695315524584
