,model_variant,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5
0,doc2vec,0.63,0.25,0.5,3.25,1.36,0.34,0.71,0.47
1,doc2vec-full-text,0.83,0.56,0.72,4.82,2.02,0.6,0.84,0.69
2,doc2vec-old,0.74,0.3,0.5,4.17,1.75,0.46,0.82,0.59
3,lda,0.05,0.02,0.5,0.35,0.15,0.0,0.35,0.15
4,tfidf,0.82,0.33,0.5,4.69,1.97,0.56,0.85,0.67
5,tfidf-full-text,0.8,0.5,0.63,5.19,2.17,0.66,0.88,0.74
6,word2vec,0.61,0.28,0.5,3.26,1.37,0.38,0.66,0.48
7,word2vec-cswiki-eval-1,0.66,0.29,0.55,3.22,1.35,0.36,0.69,0.48
8,word2vec-eval-1,0.77,0.41,0.61,4.18,1.75,0.5,0.78,0.61
9,word2vec-eval-2,0.79,0.49,0.65,4.83,2.02,0.6,0.84,0.69
10,word2vec-eval-3,0.84,0.56,0.67,5.5,2.31,0.72,0.9,0.79
11,word2vec-eval-4,0.76,0.38,0.61,3.78,1.58,0.44,0.75,0.55
12,word2vec-fasttext-full-text,0.32,0.1,0.4,1.37,0.58,0.12,0.43,0.24
13,word2vec-full-text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
