,model_variant,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5
0,categories,0.58,0.41,0.62,4.05,1.7,0.48,0.77,0.58
1,doc2vec,0.66,0.2,0.52,2.5,1.04,0.23,0.63,0.38
2,doc2vec-full-text,0.77,0.58,0.73,4.93,2.06,0.62,0.85,0.7
3,doc2vec-old,0.27,0.3,0.5,4.17,1.75,0.46,0.82,0.59
4,hybrid,0.62,0.22,0.5,3.17,1.33,0.31,0.72,0.46
5,hybrid_fuzzy,0.56,0.26,0.5,3.7,1.55,0.39,0.77,0.52
6,keywords,0.72,0.41,0.58,4.55,1.9,0.55,0.83,0.65
7,lda_full_text,0.32,0.08,0.5,1.12,0.46,0.06,0.48,0.21
8,svd,0.69,0.35,0.54,4.24,1.83,0.5,0.83,0.65
9,testing-model-01198074bc371b82,0.75,0.25,0.5,0.82,0.82,0.33,0.82,0.82
10,testing-model-055fe34a78b611a4,0.97,0.25,0.5,0.82,0.82,0.33,0.82,0.82
11,testing-model-08d07d99e6f79949,0.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
12,testing-model-0aeccef772a5f040,0.17,0.25,0.5,0.82,0.82,0.33,0.82,0.82
13,testing-model-0cbfcc4fd077dbe6,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
14,testing-model-0efdafc0e0b32ceb,0.33,0.25,0.5,0.82,0.82,0.33,0.82,0.82
15,testing-model-0fc168bf80681134,0.69,0.25,0.5,0.82,0.82,0.33,0.82,0.82
16,testing-model-0ff9e8da7a6b8506,0.5,0.25,0.5,0.82,0.82,0.33,0.82,0.82
17,testing-model-10f4dc0b64494aed,0.79,0.25,0.5,0.82,0.82,0.33,0.82,0.82
18,testing-model-148a49ec444ae356,0.58,0.25,0.5,0.82,0.82,0.33,0.82,0.82
19,testing-model-1ace07aa3d2bae24,0.9,0.25,0.5,0.82,0.82,0.33,0.82,0.82
20,testing-model-1b39ddba8b8de0c0,0.76,0.25,0.5,0.82,0.82,0.33,0.82,0.82
21,testing-model-1d14279f5904e067,0.93,0.25,0.5,0.82,0.82,0.33,0.82,0.82
22,testing-model-1e5d2851d20a10c1,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
23,testing-model-1eb9e84d4fb6a9c1,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
24,testing-model-1f95705b047aa297,0.62,0.25,0.5,0.82,0.82,0.33,0.82,0.82
25,testing-model-26559c83a10250a0,0.99,0.25,0.5,0.82,0.82,0.33,0.82,0.82
26,testing-model-2970a1fe417e6011,0.28,0.25,0.5,0.82,0.82,0.33,0.82,0.82
27,testing-model-2eeeb516b2e26254,0.98,0.25,0.5,0.82,0.82,0.33,0.82,0.82
28,testing-model-30e26f57ce3bda01,0.57,0.25,0.5,0.82,0.82,0.33,0.82,0.82
29,testing-model-374847b462915963,0.05,0.25,0.5,0.82,0.82,0.33,0.82,0.82
30,testing-model-37a15724ebd78ea0,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
31,testing-model-3bade96bf941430e,0.97,0.25,0.5,0.82,0.82,0.33,0.82,0.82
32,testing-model-3df2553d942d1f94,0.66,0.25,0.5,0.82,0.82,0.33,0.82,0.82
33,testing-model-3ee5c5eb503e82a4,0.91,0.25,0.5,0.82,0.82,0.33,0.82,0.82
34,testing-model-3f47f58cfad1b451,0.73,0.25,0.5,0.82,0.82,0.33,0.82,0.82
35,testing-model-41eec29855c4fe64,0.61,0.25,0.5,0.82,0.82,0.33,0.82,0.82
36,testing-model-48299ff5875ff361,0.98,0.25,0.5,0.82,0.82,0.33,0.82,0.82
37,testing-model-49f208758b41ad16,0.08,0.25,0.5,0.82,0.82,0.33,0.82,0.82
38,testing-model-4b61d304fc9cdcd2,0.53,0.25,0.5,0.82,0.82,0.33,0.82,0.82
39,testing-model-4e3b17e3838f716f,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
40,testing-model-51f555c7ba7a0753,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
41,testing-model-551576e30ffb9c4e,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
42,testing-model-55d9ee717eddcf2f,0.8,0.25,0.5,0.82,0.82,0.33,0.82,0.82
43,testing-model-5b5b2f1d3a11d29e,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
44,testing-model-5c34a969c974e8cd,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
45,testing-model-5d216bc70e72695b,0.7,0.25,0.5,0.82,0.82,0.33,0.82,0.82
46,testing-model-604d963e56290f72,0.95,0.25,0.5,0.82,0.82,0.33,0.82,0.82
47,testing-model-6570b4704d423725,0.47,0.25,0.5,0.82,0.82,0.33,0.82,0.82
48,testing-model-66985bb5579b1e8f,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
49,testing-model-6c68087f808d95cf,0.39,0.25,0.5,0.82,0.82,0.33,0.82,0.82
50,testing-model-703576c3dcd81e34,0.46,0.25,0.5,0.82,0.82,0.33,0.82,0.82
51,testing-model-71ca42932152b9f7,0.57,0.25,0.5,0.82,0.82,0.33,0.82,0.82
52,testing-model-7354bec3dfee9dac,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
