;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
0.0;19.0;let, my, také, podle, sám, ale, nemít, chtít, dostat, sedm;;
1.0;9.0;let, já, jak, tøeba, kdy¾, jít, práce, èas, dal¹í, a¾;;
2.0;6.0;cena, svìt, stát, spoleènost, ne¾, hodnì, tøi, s, jeden, pøed;2.0;0.0909
3.0;3.0;chtít, by, tak, v¹echen, nebýt, je¹tì, pøed, hodnì, druhý, jen;2.0;0.0909
4.0;7.0;po, jeho, øíct, ale, ani, pro, hodnì, ne¾, tak, svùj;;
5.0;8.0;moct, pro, co, po, dal¹í, ale, pokud, a¾, tento, stát;1.0;0.0455
6.0;10.0;tak, svùj, jeho, podle, po, dítì, ani, málo, by, pøípad;3.0;0.1364
7.0;15.0;já, dva, v¹echen, svùj, my, aby, chtít, jak, ale, by;2.0;0.0909
8.0;5.0;nìkolik, nebo, toti¾, pøípad, èas, dva, pak, let, muset, by;2.0;0.0909
9.0;7.0;po, jeho, øíct, ale, ani, pro, hodnì, ne¾, tak, svùj;1.0;0.0455
10.0;3.0;chtít, by, tak, v¹echen, nebýt, je¹tì, pøed, hodnì, druhý, jen;1.0;0.0455
11.0;6.0;cena, svìt, stát, spoleènost, ne¾, hodnì, tøi, s, jeden, pøed;;
12.0;16.0;tøi, jednou, úspìch, pro, mezi, svùj, napøíklad, nebo, nebýt, první;;
13.0;19.0;let, my, také, podle, sám, ale, nemít, chtít, dostat, sedm;1.0;0.0455
14.0;6.0;cena, svìt, stát, spoleènost, ne¾, hodnì, tøi, s, jeden, pøed;;
15.0;2.0;pro, cena, svùj, stát, vy, jít, ka¾dý, èasto, také, ¾ivot;1.0;0.0455
16.0;13.0;èasto, velký, by, èlovìk, hodnì, ale, nebo, k, øíkat, dùle¾itý;1.0;0.0455
17.0;17.0;dítì, podle, pro, tento, pøed, ale, jeho, jeden, po, tam;3.0;0.1364
18.0;8.0;moct, pro, co, po, dal¹í, ale, pokud, a¾, tento, stát;;
19.0;2.0;pro, cena, svùj, stát, vy, jít, ka¾dý, èasto, také, ¾ivot;2.0;0.0909
20.0;17.0;dítì, podle, pro, tento, pøed, ale, jeho, jeden, po, tam;;
21.0;17.0;dítì, podle, pro, tento, pøed, ale, jeho, jeden, po, tam;;
